,road,LRPName,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
48,N1,LRP300a,303.782,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
49,N1,LRP302c,305.794,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
50,N1,LRP306a,309.355,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
51,N1,LRP309b,312.609,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
52,N1,LRP314a,318.11,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
53,N1,LRP319a,322.5,2.0,5.25,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
54,N1,LRP322a,325.49,2.0,5.5,295.5,151.875,126.875,98.375,253.125,43.125,126.625,208.5,97.375,80.25,91.0,0.0,1406.625,171.25,1577.875
55,N1,LRP328a,331.259,2.0,5.5,96.75,31.125,93.625,18.0,132.25,25.25,82.625,141.625,69.0,29.125,33.375,0.0,695.75,62.5,758.25
56,N1,LRP335a,338.859,2.0,4.875,126.125,68.625,98.0,29.75,127.25,20.625,39.75,313.875,180.375,53.5,522.875,0.0,1009.25,576.375,1585.625
57,N1,LRP342a,345.592,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
58,N1,LRP348a,351.628,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
59,N1,LRP352a,356.261,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
60,N1,LRP357c,360.551,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
61,N1,LRP359b,362.889,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
62,N1,LRP364d,368.129,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
63,N1,LRP369b,372.782,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
64,N1,LRP371c,375.035,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
65,N1,LRP374c,377.753,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
66,N1,LRP377c,380.615,2.0,4.375,74.375,19.875,51.5,17.0,95.0,14.75,13.625,193.5,50.375,14.75,56.25,0.0,534.375,71.0,605.375
67,N1,LRP379b,383.098,2.0,4.375,74.375,19.875,51.5,25.0,95.0,16.375,17.75,309.5,52.375,14.75,130.25,0.0,585.125,142.375,727.5
68,N1,LRP381b,384.978,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
69,N1,LRP383b,386.968,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
70,N1,LRP385b,388.733,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
71,N1,LRP386a,389.538,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
72,N1,LRP386g,390.356,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
73,N1,LRP387f,391.373,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
74,N1,LRP389a,392.526,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
75,N1,LRP391a,394.681,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
76,N1,LRP394c,397.679,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
77,N1,LRP398b,401.89,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
78,N1,LRP401a,404.487,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
79,N1,LRP403b,406.791,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
80,N1,LRP409a,412.931,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
81,N1,LRP411a,415.056,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
82,N1,LRP413b,417.29,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
83,N1,LRP416b,419.88,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
84,N1,LRP417c,420.952,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
85,N1,LRP419c,423.442,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
86,N1,LRP421a,424.577,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
87,N1,LRP422c,426.555,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
88,N1,LRP424a,427.622,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
89,N1,LRP425b,428.89,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
90,N1,LRP426d,430.072,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
91,N1,LRP428a,431.877,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
92,N1,LRP429c,432.924,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
93,N1,LRP430d,434.37,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
94,N1,LRP432b,436.388,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
95,N1,LRP434b,438.506,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
96,N1,LRP437b,440.977,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
97,N1,LRP440a,444.315,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
98,N1,LRP444a,447.893,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
99,N1,LRP445b,449.101,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
100,N1,LRP447b,450.943,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
101,N1,LRP449d,453.05,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
102,N1,LRP451a,454.673,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
103,N1,LRP451i,455.496,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
104,N1,LRP452h,456.287,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
105,N1,LRP455a,458.799,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
106,N1,LRP456c,460.113,2.0,3.0,56.875,17.125,16.125,25.0,71.0,16.375,17.75,309.5,52.375,12.125,130.25,0.0,585.125,142.375,727.5
