"PathName";"NumberVehicles";"SimulationTime";"AverageTruckWaitingTime";"AverageBusWaitingTime";"AveragePassengerVehicleWaitingTime";"TruckAverageNumberWaiting";"BusAverageNumberWaiting";"PassengerVehicleAverageNumberWaiting"
"N1_LRP393C_LRP399A";5;7.0;0.000145422535189788;0.000115715376614953;7.39336980535533e-05;0.320986825648289;0.429473686690182;1.93140230110917
"bridge_N1_LRP399A_LRP399B";0;7.0;0.000145422535189788;0.000115715376614953;7.39336980535533e-05;0.00189346914816081;0.00235116901790219;0.0101352919666284
"N1_LRP399B_LRP401A";1;7.0;0.000145422535189788;0.000115715376614952;7.39336980535532e-05;0.109175612005304;0.141817954732188;0.653285338196338
"bridge_N1_LRP401A_LRP401B";0;7.0;0.000145422535189788;0.000115715376614952;7.39336980535532e-05;0.00235299295768543;0.00294854997028479;0.0127849978669128
"N1_LRP401B_LRP402A";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535532e-05;0.0532089453386372;0.0690612880655216;0.315377914533575
"bridge_N1_LRP402A_LRP402B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535532e-05;0.00352204057673317;0.00446831187504667;0.0197408312002469
"N1_LRP402B_LRP403A";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535532e-05;0.0556464453386373;0.0722300380655217;0.329881039533575
"bridge_N1_LRP403A_LRP403B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535532e-05;0.0016279929576848;0.00200604997028344;0.00847124786690806
"N1_LRP403B_LRP403D";2;7.0;0.000145422535189788;0.000115715376614935;7.39336980535534e-05;0.043659081710908;0.0581165261607605;0.265168361913182
"bridge_N1_LRP403D_LRP403E";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535534e-05;0.00322605759551478;0.00430426425599768;0.0188304180529
"N1_LRP403E_LRP405B";1;7.0;0.000145422535189788;0.000115715376614935;7.39336980535529e-05;0.108426117119324;0.147941868565228;0.672178156148138
"bridge_N1_LRP405B_LRP405C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535529e-05;0.00440507545265805;0.00569005491648199;0.0261527394814745
"N1_LRP405C_LRP407B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535529e-05;0.077503617119325;0.101872346583149;0.480133156148143
"bridge_N1_LRP407B_LRP407C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535529e-05;0.00109986711932418;0.0013410965831476;0.00562565614813668
"N1_LRP407C_LRP409B";1;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.106268825452658;0.139721304916482;0.654308647430646
"bridge_N1_LRP409B_LRP409C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.00158221830980115;0.00197576920219679;0.00854824895318319
"N1_LRP409C_LRP410A";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.0386457897383725;0.0507436263450539;0.236781820381754
"bridge_N1_LRP410A_LRP410B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.00263739688122956;0.00336416205933943;0.0150459275246108
"N1_LRP410B_LRP410C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.0133757897383725;0.0174936263450538;0.0811718203817541
"bridge_N1_LRP410C_LRP410D";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535512e-05;0.00145668259551486;0.00181059063076712;0.00777521323889281
"N1_LRP410D_LRP411A";1;7.0;0.000145422535189788;0.000115715376614935;7.39336980535514e-05;0.0527018314050387;0.0692384180117195;0.321429915600653
"bridge_N1_LRP411A_LRP411B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535514e-05;0.000868587357419776;0.00103678110695774;0.00411828223440995
"N1_LRP411B_LRP412B";1;7.0;1.70892018563351e-05;0.000115715376614935;7.39336980535516e-05;0.0592353433098013;0.0778351442021969;0.359099073955597
"bridge_N1_LRP412B_LRP412C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535516e-05;0.000743051643134509;0.0008716025355301;0.003322958372787
"N1_LRP412C_LRP412D";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535516e-05;0.0246949266431339;0.032387227535529;0.148294833372782
"bridge_N1_LRP412D_LRP412E";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535516e-05;0.00122200997646722;0.00150181086886213;0.00622191670611504
"N1_LRP412E_LRP413B";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535511e-05;0.0551028433098011;0.0723976442021966;0.332342750039453
"bridge_N1_LRP413B_LRP413C";0;7.0;0.000145422535189788;0.000115715376614935;7.39336980535511e-05;0.00171510521456305;0.00215062039267292;0.00920644051564398
"N1_LRP413C_LRP421B";6;7.0;0.000145422535189788;0.000115715376614936;7.39336980535511e-05;0.411087634976467;0.528491175355159;2.44691424070459
"bridge_N1_LRP421B_LRP421C";0;7.0;0.000145422535189788;0.000115715376614936;7.39336980535511e-05;0.00232355759551504;0.0028331670055368;0.012328779540841
"N1_LRP421C_LRP422B";1;7.0;0.000145422535189788;0.000115715376614936;7.39336980535513e-05;0.0653888552145623;0.0824945955769648;0.376580868853926
"bridge_N1_LRP422B_LRP422C";0;7.0;0.000145422535189788;0.000115715376614936;7.39336980535513e-05;0.00158221830980115;0.00189673843410896;0.00796375329826492
"N1_LRP422C_LRP424C";2;7.0;0.000145422535189788;0.000115715376614936;7.39336980535506e-05;0.108644390928848;0.137133167005537;0.618821864940574
"bridge_N1_LRP424C_LRP424D";0;7.0;0.000145422535189788;0.000115715376614936;7.39336980535506e-05;0.00289355759551516;0.00355316700553695;0.0152025400988187
"N1_LRP424D_LRP425B";0;7.0;0.000145422535189788;0.000115715376614936;7.39336980535506e-05;0.031176414738372;0.0392788812912509;0.17447968295596
"bridge_N1_LRP425B_LRP425C";0;7.0;0.000145422535189788;0.000115715376614936;7.39336980535506e-05;0.00214543259551459;0.00260816700553593;0.0109894150988143
"N1_LRP425C_LRP427B";2;7.0;0.000145422535189788;0.000115715376614937;7.39336980535467e-05;0.139745015928848;0.172776594745346;0.778687259173595
"bridge_N1_LRP427B_LRP427C";0;7.0;0.000145422535189788;0.000115715376614937;7.39336980535467e-05;0.00116206950027734;0.00130910647554499;0.00540057933243267
"N1_LRP427C_LRP428A";1;7.0;0.000145422535189788;0.000115715376614937;7.39336980535468e-05;0.0185578135478963;0.0223671124279256;0.101725458400704
"bridge_N1_LRP428A_LRP428B";0;7.0;0.000145422535189788;0.000115715376614937;7.39336980535468e-05;0.00369483735741957;0.00437508861840105;0.0193465054708014
"N1_LRP428B_LRP429E";3;7.0;0.000145422535189788;0.000115715376614937;7.39336980535461e-05;0.0857901052145626;0.100117183392844;0.470109870372379
"bridge_N1_LRP429E_LRP429F";0;7.0;0.000145422535189788;0.000115715376614937;7.39336980535461e-05;0.00204930164313458;0.00227951023126646;0.0100574648904091
"N1_LRP429F_LRP430C";1;7.0;0.000145422535189788;0.000115715376614937;7.3933698053544e-05;0.0439454325955154;0.0507908197550758;0.235779494099098
"bridge_N1_LRP430C_LRP430D";0;7.0;0.000145422535189788;0.000115715376614937;7.3933698053544e-05;0.00121465878599146;0.00131308165983785;0.00547910531449608
"N1_LRP430D_LRP433F";2;7.0;0.000145422535189788;0.000115715376614938;7.39336980535442e-05;0.155738944500277;0.176698687557788;0.827692263650364
"bridge_N1_LRP433F_LRP433G";0;7.0;0.000145422535189788;0.000115715376614938;7.39336980535442e-05;0.00463013497646771;0.00502839612984528;0.0235813409766793
"N1_LRP433G_LRP436B";2;7.0;0.000145422535189788;0.000115715376614938;7.39336980535445e-05;0.162015164738372;0.178980271129844;0.850881453954011
"bridge_N1_LRP436B_LRP436C";0;7.0;0.000145422535189788;0.000115715376614938;7.39336980535445e-05;0.00220311116694394;0.00234589612984507;0.0104683123010443
"N1_LRP436C_LRP440D";2;7.0;0.000145422535189788;0.000115715376614933;7.39336980535391e-05;0.235536117119324;0.260240271129844;1.21078502531549
"bridge_N1_LRP440D_LRP440E";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535391e-05;0.00109195045265755;0.0011177711298443;0.00458406338731101
"N1_LRP440E_LRP441B";1;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.0601056111669433;0.0663433961298444;0.302926887568237
"bridge_N1_LRP441B_LRP441C";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.00231790283361009;0.00247277112984449;0.0107310907161614
"N1_LRP441C_LRP443B";1;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.116489242119325;0.128662146129845;0.584259289801427
"bridge_N1_LRP443B_LRP443C";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.00254013497646783;0.00271839612984515;0.0117304692354901
"N1_LRP443C_LRP445A";1;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.0844273075955155;0.0905519673429863;0.421166332330728
"bridge_N1_LRP445A_LRP445B";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535392e-05;0.00214599807170541;0.00217406774270912;0.00975978471167797
"N1_LRP445B_LRP448A";2;7.0;0.000145422535189788;0.000115715376614933;7.39336980535394e-05;0.16626415283361;0.174930020123661;0.822692106547852
"bridge_N1_LRP448A_LRP448B";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535394e-05;0.00291787307170509;0.00298656774270856;0.0133324405598508
"N1_LRP448B_LRP450A";2;7.0;0.000145422535189788;0.000115715376614933;7.39336980535397e-05;0.135319599262181;0.142356805837947;0.655415124828561
"bridge_N1_LRP450A_LRP450B";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535397e-05;0.00200293259551506;0.0020234725046138;0.00866363807469491
"N1_LRP450B_LRP452A";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535397e-05;0.0666306409288486;0.0700526391712811;0.318196346408031
"bridge_N1_LRP452A_LRP452B";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535397e-05;0.00263739688122956;0.0026913296474716;0.0117023880746974
"N1_LRP452B_LRP452D";1;7.0;0.000145422535189788;0.000115715376614933;7.39336980535398e-05;0.0369510575955155;0.0388109725046145;0.174957199833041
"bridge_N1_LRP452D_LRP452E";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535398e-05;0.0020888849764674;0.00211394869508995;0.00897557611782992
"N1_LRP452E_LRP454B";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535398e-05;0.0935993314050394;0.0984407344093767;0.44244611183212
"bridge_N1_LRP454B_LRP454C";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535398e-05;0.00280081950027733;0.00286335345699535;0.012347897546404
"N1_LRP454C_LRP455B";1;7.0;0.000145422535189788;0.000115715376614933;7.39336980535399e-05;0.0707716230717061;0.0744115677427099;0.331923780196683
"bridge_N1_LRP455B_LRP455C";0;7.0;0.000145422535189788;0.000115715376614933;7.39336980535399e-05;0.00231337902408616;0.00235025821889923;0.0099274248752497
