"id";"road";"chainage";"lrp";"lat";"lon";"gap";"type";"name"
1018;"N1";390.926;"LRP396b";21.3731938;92.0773327;"";"Culvert";"Box culvert"
1019;"N1";391.155;"LRP396c";21.3714993;92.0785549;"";"Culvert";"Box culvert"
1020;"N1";391.361;"LRP396d";21.3698327;92.0796104;"";"Culvert";"Box culvert"
1021;"N1";391.623;"LRP396e";21.3678882;92.0803327;"";"Culvert";"Box culvert"
1022;"N1";391.757;"LRP396f";21.3669438;92.0807771;"";"Culvert";"Box culvert"
1023;"N1";391.841;"LRP397";21.3662778;92.0810549;"";"KmPost";"Teknaf 70 km,Uthia 16 km"
1024;"N1";391.905;"LRP397a";21.3657222;92.0812771;"";"Culvert";"Box culvert"
1025;"N1";392.056;"LRP397b";21.3644167;92.081416;"";"Culvert";"Box culvert"
1026;"N1";392.397;"LRP397c";21.3615;92.0806382;"";"Culvert";"Box culvert"
1027;"N1";392.825;"LRP397d";21.3580833;92.0790271;"";"Culvert";"Box culvert"
1028;"N1";392.869;"LRP398";21.35775;92.0790271;"";"KmPost";"Teknaf 69 km,Uthia 15 km"
1029;"N1";392.933;"LRP398a";21.3571944;92.0791104;"";"Culvert";"Box culvert"
1030;"N1";393.029;"LRP398b";21.3563333;92.0790827;"";"Culvert";"Box culvert"
1031;"N1";393.154;"LRP398c";21.35525;92.0790827;"";"Culvert";"Box culvert"
1032;"N1";393.459;"LRP398d";21.3526667;92.0783327;"";"Culvert";"Box culvert"
1033;"N1";393.876;"LRP399";21.3490552;92.0784716;"";"KmPost";"Teknaf 68 km,Uthia 14 km"
1034;"N1";394.188;"LRP399a";21.3463608;92.0790271;"BS";"Bridge";"Bridge start"
1035;"N1";394.214;"LRP399b";21.3461386;92.0789993;"BE";"Bridge";"Bridge end"
1036;"N1";394.749;"LRP399c";21.3414997;92.0788327;"";"Culvert";"Box culvert"
1037;"N1";394.872;"LRP400";21.3404997;92.0784993;"";"KmPost";"Teknaf 67 km,Uthia 13 km"
1038;"N1";395.14;"LRP400a";21.3381941;92.078916;"";"Culvert";"Box culvert"
1039;"N1";395.797;"LRP400b";21.3324716;92.0790827;"";"Culvert";"Box culvert"
1040;"N1";395.961;"LRP401";21.3311104;92.0788604;"";"KmPost";"Teknaf 66 km,Uthia 12 km"
1041;"N1";396.119;"LRP401a";21.3297771;92.0787771;"BS";"Bridge";"Khulna Plong Bridge"
1042;"N1";396.151;"LRP401b";21.3295271;92.0789438;"BE";"Bridge";"Bridge end"
1043;"N1";396.98;"LRP402";21.324666;92.084583;"";"KmPost";"Teknaf 65 km,Uthia 11 km"
1044;"N1";397.086;"LRP402a";21.3241104;92.085333;"BS";"Bridge";"Bridge start"
1045;"N1";397.141;"LRP402b";21.3238049;92.0857219;"BE";"Bridge";"Bridge end"
1046;"N1";397.651;"LRP402c";21.3207493;92.0893052;"";"Culvert";"Box culvert"
1047;"N1";397.988;"LRP403";21.3187493;92.0916108;"";"KmPost";"Km post broken"
1048;"N1";398.103;"LRP403a";21.3179438;92.0921663;"BS";"Bridge";"Bridge start"
1049;"N1";398.123;"LRP403b";21.3177771;92.0922497;"BE";"Bridge";"Bridge end"
1050;"N1";398.205;"LRP403c";21.317666;92.0930274;"";"SideRoad,Left";"Road to Ramu(Z1009)"
1051;"N1";398.918;"LRP403d";21.3125;92.096333;"BS";"Bridge";"Bridge start"
1052;"N1";398.97;"LRP403e";21.3121944;92.0966941;"BE";"Bridge";"Bridge end"
1053;"N1";398.994;"LRP404";21.3120278;92.0969163;"";"KmPost";"Teknaf 63 km,Uthia 9 km"
1054;"N1";399.214;"LRP404a";21.3101667;92.0974997;"";"SideRoad,Left";"Z1503, Maricha Dakbunglow Road"
1055;"N1";399.974;"LRP404b";21.3039722;92.0967497;"";"Culvert";"Box culvert"
1056;"N1";399.997;"LRP405";21.3037778;92.0968052;"";"KmPost";"Teknaf 62 km,Uthia 8 km"
1057;"N1";400.552;"LRP405a";21.2989441;92.0976108;"";"Culvert";"Box culvert"
1058;"N1";400.978;"LRP405b";21.2956386;92.0993886;"BS";"Bridge";"Bridge start"
1059;"N1";401.052;"LRP405c";21.2949997;92.0993886;"BE";"Bridge";"Bridge end"
1060;"N1";401.06;"LRP406";21.2949163;92.0994163;"";"KmPost";"Teknaf 61 km,Uthia 7 km"
1061;"N1";402.024;"LRP407";21.2863608;92.1001667;"";"KmPost";"Teknaf 60 km,Uthia 6 km"
1062;"N1";402.299;"LRP407a";21.2839441;92.1005278;"";"Culvert";"Box culvert"
1063;"N1";402.435;"LRP407b";21.28277751;92.10067986;"BS";"Bridge";"Bridge start"
1064;"N1";402.448;"LRP407c";21.282666;92.1006944;"BE";"Bridge";"Bridge end"
1065;"N1";402.876;"LRP407d";21.2790827;92.1019722;"";"Culvert";"Box culvert"
1066;"N1";403.044;"LRP408";21.277666;92.1026111;"";"KmPost";"Teknaf 59 km,Uthia 5 km"
1067;"N1";404.04;"LRP409";21.2695827;92.1066111;"";"KmPost";"Teknaf 58 km,Uthia 4 km"
1068;"N1";404.055;"LRP409a";21.2694716;92.1066667;"";"Culvert";"Box culvert"
1069;"N1";404.347;"LRP409b";21.2678604;92.1088333;"BS";"Bridge";"Bridge start"
1070;"N1";404.373;"LRP409c";21.2677493;92.109;"BE";"Bridge";"Bridge end"
1071;"N1";404.954;"LRP409d";21.2646111;92.1134444;"";"Culvert";"Box Culvert"
1072;"N1";405.044;"LRP410";21.2641111;92.1140833;"";"KmPost";"Teknaf 57 km,Uthia 3 km"
1073;"N1";405.058;"LRP410a";21.2639722;92.1141944;"BS";"Bridge";"Bridge start"
1074;"N1";405.103;"LRP410b";21.2637222;92.1144722;"BE";"Bridge";"Bridge end"
1075;"N1";405.337;"LRP410c";21.2623611;92.1161667;"BS";"Bridge";"Bridge start"
1076;"N1";405.355;"LRP410d";21.26225;92.1163056;"BE";"Bridge";"Bridge end"
1077;"N1";406.07;"LRP411";21.2580278;92.1214438;"";"KmPost";"Teknaf 56 km,Uthia 2 km"
1078;"N1";406.294;"LRP411a";21.2565556;92.122916;"BS";"Bridge";"Bridge start"
1079;"N1";406.307;"LRP411b";21.2565;92.1229716;"BE";"Bridge";"Bridge end"
1080;"N1";406.546;"LRP411c";21.2550278;92.1245827;"";"Culvert";"Box culvert"
1081;"N1";406.796;"LRP411d";21.2537778;92.1266382;"";"Culvert";"Box culvert"
1082;"N1";407.072;"LRP412";21.2521944;92.1286104;"";"KmPost";"Teknaf 55 km,Uthia 1 km"
1083;"N1";407.089;"LRP412a";21.2521111;92.1287493;"";"Culvert";"Box culvert"
1084;"N1";407.209;"LRP412b";21.2504722;92.1307493;"BS";"Bridge";"Bridge start"
1085;"N1";407.299;"LRP412c";21.2504167;92.1307493;"BE";"Bridge";"Bridge end"
1086;"N1";408.08;"LRP412d";21.248083;92.1341108;"BS";"Bridge";"Bridge start"
1087;"N1";408.093;"LRP412e";21.2479997;92.1342219;"BE";"Bridge";"Bridge end"
1088;"N1";408.134;"LRP413";21.2462219;92.1364719;"";"KmPost";"Teknaf 54 km"
1089;"N1";408.434;"LRP413a";21.2447497;92.1389441;"";"SideRoad,Left";"Z1503, Maricha Dukbanglow road"
1090;"N1";408.817;"LRP413b";21.242333;92.1413608;"BS";"Bridge";"Bridge start"
1091;"N1";408.839;"LRP413c";21.2422219;92.1415552;"BE";"Bridge";"Bridge end"
1092;"N1";409.141;"LRP414";21.2412497;92.1440552;"";"KmPost";"Teknaf 53 km"
1093;"N1";410.121;"LRP415";21.2357774;92.1511667;"";"KmPost";"Teknaf 52 km"
1094;"N1";411.119;"LRP416";21.236333;92.1586667;"";"KmPost";"Teknaf 51km"
1095;"N1";412.129;"LRP417";21.2283604;92.1617222;"";"KmPost";"Teknaf 50 km"
1096;"N1";412.394;"LRP417a";21.2261382;92.1611667;"";"Culvert";"Box culvert"
1097;"N1";412.603;"LRP417b";21.2243327;92.1614444;"";"Culvert";"Box culvert"
1098;"N1";413.131;"LRP418";21.2198049;92.1618611;"";"KmPost";"Info.Missing"
1099;"N1";413.531;"LRP418a";21.2165556;92.1626944;"";"Culvert";"Box culvert"
1100;"N1";413.834;"LRP418b";21.2152778;92.1649722;"";"Culvert";"Box culvert"
1101;"N1";414.03;"LRP418c";21.2142778;92.166666;"";"Culvert";"Box culvert"
1102;"N1";414.136;"LRP419";21.21375;92.1674438;"";"KmPost";"Teknaf 47km"
1103;"N1";414.264;"LRP419a";21.2127222;92.1678882;"";"Culvert";"Box culvert"
1104;"N1";414.508;"LRP419b";21.2105833;92.1681382;"";"Culvert";"Box culvert"
1105;"N1";414.608;"LRP419c";21.2096944;92.168416;"";"Culvert";"Box culvert"
1106;"N1";415.144;"LRP420";21.2056389;92.1703327;"";"KmPost";"Teknaf 46 km"
1107;"N1";415.671;"LRP420a";21.2011389;92.170416;"";"Culvert";"Box culvert"
1108;"N1";415.919;"LRP420b";21.1989997;92.1703604;"";"Culvert";"Box culvert"
1109;"N1";416.044;"LRP420c";21.1977219;92.1705549;"";"SideRoad,Left";"Z1504, Ukhia Gundum Road"
1110;"N1";416.157;"LRP421";21.1969441;92.1707493;"";"KmPost";"Info.Missing"
1111;"N1";416.204;"LRP421a";21.1965552;92.1708604;"";"Culvert";"Box culvert"
1112;"N1";416.688;"LRP421b";21.1925552;92.1697216;"BS";"Bridge";"Bridge start"
1113;"N1";416.73;"LRP421c";21.1923052;92.1695271;"BE";"Bridge";"Bridge end"
1114;"N1";416.991;"LRP421d";21.1906108;92.167916;"";"Culvert";"Box culvert"
1115;"N1";417.164;"LRP422";21.1897497;92.166666;"";"KmPost";"Info.Missing"
1116;"N1";417.621;"LRP422a";21.1866386;92.1638056;"";"Culvert";"Box culvert"
1117;"N1";417.934;"LRP422b";21.1859441;92.1610833;"BS";"Bridge";"Bridge start"
1118;"N1";417.957;"LRP422c";21.185833;92.1609167;"BE";"Bridge";"Bridge end"
1119;"N1";418.19;"LRP423";21.1843052;92.1594167;"";"KmPost";"Info.Missing"
1120;"N1";418.889;"LRP423a";21.178666;92.1574722;"";"Culvert";"Box culvert"
1121;"N1";419.18;"LRP424";21.1761938;92.1566111;"";"KmPost";"Info.Missing"
1122;"N1";419.423;"LRP424a";21.1742771;92.1557222;"";"Culvert";"Box culvert"
1123;"N1";419.705;"LRP424b";21.1718327;92.1551389;"";"Culvert";"Box culvert"
1124;"N1";419.948;"LRP424c";21.1698049;92.1545833;"BS";"Bridge";"Bridge start"
1125;"N1";419.996;"LRP424d";21.1694993;92.1543056;"BE";"Bridge";"Bridge end"
1126;"N1";420.151;"LRP424e";21.168416;92.1532778;"";"Culvert";"Box culvert"
1127;"N1";420.261;"LRP425";21.1677216;92.1527778;"";"KmPost";"Info.Missing"
1128;"N1";420.326;"LRP425a";21.1673327;92.1524167;"";"Culvert";"Box culvert"
1129;"N1";420.579;"LRP425b";21.1652222;92.1521667;"BS";"Bridge";"Bridge start"
