"id";"road";"chainage";"lrp";"lat";"lon";"gap";"type";"name"
1235;"N1";441.292;"LRP445a";21.0228882;92.2420274;"BS";"Bridge";"Bridge start"
1236;"N1";441.327;"LRP445b";21.0226104;92.2420552;"BE";"Bridge";"Bridge end"
1237;"N1";441.811;"LRP446";21.0186104;92.2431386;"";"KmPost";"Infor.missing"
1238;"N1";442.018;"LRP446a";21.0169993;92.2440274;"";"Culvert";"Box culvert"
1239;"N1";442.274;"LRP446b";21.0150833;92.245333;"";"Culvert";"Box culvert"
1240;"N1";442.881;"LRP447";21.0107222;92.2487219;"";"KmPost";"Teknaf 20 km"
1241;"N1";442.972;"LRP447a";21.0101389;92.2492497;"";"Culvert";"Box culvert"
1242;"N1";443.288;"LRP447b";21.0078889;92.251;"";"Culvert";"Box culvert"
1243;"N1";443.489;"LRP447c";21.0064444;92.2520833;"";"Culvert";"Box culvert"
1244;"N1";443.913;"LRP448";21.0029444;92.2531944;"";"KmPost";"Teknaf 29 km"
1245;"N1";444.358;"LRP448a";20.9990274;92.2537778;"BS";"Bridge";"Bridge start"
1246;"N1";444.408;"LRP448b";20.9986386;92.2538889;"BE";"Bridge";"Bridge end"
1247;"N1";444.911;"LRP448c";20.9942497;92.2545278;"";"Culvert";"Box culvert"
1248;"N1";444.945;"LRP449";20.9940274;92.2546111;"";"KmPost";"Teknaf 18 km"
1249;"N1";445.687;"LRP449a";20.9875274;92.2545556;"";"Culvert";"Box culvert"
1250;"N1";445.964;"LRP450";20.9852774;92.2536389;"";"KmPost";"Infor.missing"
1251;"N1";446.856;"LRP450a";20.9778049;92.25075;"BS";"Bridge";"Bridge start"
1252;"N1";446.888;"LRP450b";20.9775827;92.2506111;"BE";"Bridge";"Bridge end"
1253;"N1";446.964;"LRP451";20.9769438;92.2502222;"";"KmPost";"Km post missing"
1254;"N1";447.825;"LRP451a";20.9697216;92.2485552;"";"Culvert";"Box culvert"
1255;"N1";447.999;"LRP452";20.9682771;92.2488052;"";"KmPost";"Infor.missing"
1256;"N1";448.118;"LRP452a";20.9673604;92.2491663;"BS";"Bridge";"Bridge start"
1257;"N1";448.16;"LRP452b";20.9671104;92.2494441;"BE";"Bridge";"Bridge end"
1258;"N1";448.497;"LRP452c";20.9648611;92.2515278;"";"Culvert";"Box culvert"
1259;"N1";448.82;"LRP452d";20.9622778;92.2528889;"BS";"Bridge";"Bridge start"
1260;"N1";448.851;"LRP452e";20.9620556;92.2530556;"BE";"Bridge";"Bridge end"
1261;"N1";449.019;"LRP453";20.9606389;92.2535;"";"KmPost";"Info.Missing"
1262;"N1";449.321;"LRP453a";20.9580833;92.2543056;"";"Culvert";"Box culvert"
1263;"N1";449.491;"LRP453b";20.9566667;92.2548056;"";"Culvert";"Box culvert"
1264;"N1";449.827;"LRP453c";20.9538889;92.2559722;"";"Culvert";"Box culvert"
1265;"N1";449.92;"LRP453d";20.9531667;92.2562778;"";"Culvert";"Box culvert"
1266;"N1";450.04;"LRP453e";20.95225;92.2566111;"";"Culvert";"Box culvert"
1267;"N1";450.056;"LRP454";20.9521667;92.2566944;"";"KmPost";"Info.Missing"
1268;"N1";450.391;"LRP454a";20.94957125;92.25817741;"";"Culvert";"Box culvert"
1269;"N1";450.558;"LRP454b";20.9482774;92.2589167;"BS";"Bridge";"Bridge start"
1270;"N1";450.604;"LRP454c";20.9481386;92.2593056;"BE";"Bridge";"Bridge end"
1271;"N1";450.934;"LRP454d";20.9459163;92.2603333;"";"Culvert";"Box culvert"
1272;"N1";451.121;"LRP455";20.9445552;92.2603333;"";"KmPost";"Info.Missing"
1273;"N1";451.22;"LRP455a";20.9436941;92.2603056;"";"Culvert";"Box culvert"
1274;"N1";451.972;"LRP455b";20.9373886;92.2623333;"BS";"Bridge";"Bridge start"
1275;"N1";452.012;"LRP455c";20.9371108;92.2624722;"BE";"Bridge";"Bridge end"
1276;"N1";452.121;"LRP456";20.9361663;92.2628611;"";"KmPost";"Km post missing"
1277;"N1";452.133;"LRP456a";20.9361108;92.2628611;"";"Culvert";"Box culvert"
1278;"N1";452.299;"LRP456b";20.9346663;92.2631667;"";"Culvert";"Box culvert"
1279;"N1";452.339;"LRP456c";20.934333;92.26325;"";"Culvert";"Box culvert"
1280;"N1";452.489;"LRP456d";20.9330549;92.2635;"";"Culvert";"Box culvert"
1281;"N1";452.877;"LRP456e";20.929666;92.2641111;"BS";"Bridge";"Bridge start"
1282;"N1";452.914;"LRP456f";20.9293327;92.2641389;"BE";"Bridge";"Bridge end"
1283;"N1";453.17;"LRP457";20.9270827;92.2644444;"";"KmPost";"Infor.missing"
1284;"N1";453.551;"LRP457a";20.9238882;92.2653889;"BS";"Bridge";"Bridge start"
1285;"N1";453.602;"LRP457b";20.9234993;92.2656111;"BE";"Bridge";"Bridge end"
1286;"N1";454.132;"LRP457c";20.9195827;92.268416;"BS";"Bridge";"Bridge start"
1287;"N1";454.149;"LRP457d";20.9194993;92.2684716;"BE";"Bridge";"Bridge end"
1288;"N1";454.204;"LRP457e";20.9189993;92.2686382;"";"Culvert";"Box Culvert"
1289;"N1";454.234;"LRP458";20.9187771;92.2687771;"";"KmPost";"Teknaf 8 km"
1290;"N1";454.374;"LRP458a";20.9176382;92.2692493;"";"Culvert";"Box Culvert"
1291;"N1";454.629;"LRP458b";20.9157222;92.2704993;"BS";"Bridge";"Bridge start"
1292;"N1";454.667;"LRP458c";20.9154167;92.2706938;"BE";"Bridge";"Bridge end"
1293;"N1";454.899;"LRP458d";20.9136389;92.2718604;"";"Culvert";"Box Culvert"
1294;"N1";454.982;"LRP458e";20.9132778;92.2721938;"";"Culvert";"Box culvert"
1295;"N1";455.1;"LRP458f";20.9123889;92.2729716;"";"Culvert";"Box Culvert"
1296;"N1";455.126;"LRP459";20.9122222;92.2729438;"";"KmPost";"Teknaf 7 km"
1297;"N1";455.572;"LRP459a";20.9088889;92.275166;"BS";"Bridge";"Bridge start"
1298;"N1";455.619;"LRP459b";20.9085556;92.2753604;"BE";"Bridge";"Bridge end"
1299;"N1";455.857;"LRP459c";20.90675;92.2764993;"";"Culvert";"Box Culvert"
1300;"N1";455.98;"LRP459d";20.9059444;92.2771104;"";"Culvert";"Box culvert"
1301;"N1";456.126;"LRP460";20.9048333;92.277916;"";"KmPost";"Km post missing"
1302;"N1";456.143;"LRP460a";20.9047222;92.2779716;"";"Culvert";"Box Culvert"
1303;"N1";456.337;"LRP460b";20.9033333;92.2789438;"";"Culvert";"Box Culvert"
1304;"N1";456.44;"LRP460c";20.9027222;92.279416;"";"Culvert";"Box culvert"
1305;"N1";456.751;"LRP460d";20.9003333;92.2807216;"BS";"Bridge";"Bridge start"
1306;"N1";456.787;"LRP460e";20.9001111;92.2809716;"BE";"Bridge";"Bridge end"
1307;"N1";456.9;"LRP460f";20.8994441;92.2817216;"";"Culvert";"Box culvert"
1308;"N1";457.064;"LRP460g";20.8984719;92.2828604;"BS";"Bridge";"Bridge start"
1309;"N1";457.111;"LRP460h";20.8982219;92.283166;"BE";"Bridge";"Bridge end"
1310;"N1";457.126;"LRP461";20.8981108;92.2832493;"";"KmPost";"Km post missing"
1311;"N1";457.148;"LRP461a";20.8980274;92.283333;"";"Culvert";"Box culvert"
1312;"N1";457.201;"LRP461b";20.8977497;92.2836941;"";"Culvert";"Box culvert"
1313;"N1";457.411;"LRP461c";20.8969163;92.2854441;"BS";"Bridge";"Bridge start"
1314;"N1";457.444;"LRP461d";20.8967774;92.2857219;"BE";"Bridge";"Bridge end"
1315;"N1";457.491;"LRP461e";20.8965552;92.286083;"";"Culvert";"Box culvert"
1316;"N1";457.71;"LRP461f";20.8953608;92.2877219;"";"Culvert";"Box culvert"
1317;"N1";457.794;"LRP461g";20.8948052;92.2881941;"";"Culvert";"Box culvert"
1318;"N1";457.897;"LRP461h";20.894083;92.2887774;"BS";"Bridge";"Bridge start"
1319;"N1";457.921;"LRP461i";20.8939441;92.2889163;"BE";"Bridge";"Bridge end"
1320;"N1";458.026;"LRP461j";20.8932774;92.2896386;"";"Culvert";"Box culvert"
1321;"N1";458.105;"LRP461k";20.8927774;92.2901386;"";"Culvert";"Box culvert"
1322;"N1";458.126;"LRP462";20.8926386;92.2902774;"";"KmPost";"Km post missing"
1323;"N1";458.297;"LRP462a";20.8919163;92.2916663;"BS";"Bridge";"Bridge start"
1324;"N1";458.317;"LRP462b";20.8918886;92.2918052;"BE";"Bridge";"Bridge end"
1325;"N1";458.373;"LRP463";20.891833;92.2923052;"";"KmPost";"Teknaf 4 km"
1326;"N1";459.115;"LRP463a";20.8889163;92.2982497;"BS";"Bridge";"Bridge start"
1327;"N1";459.13;"LRP463b";20.888833;92.2983886;"BE";"Bridge";"Bridge end"
1328;"N1";459.388;"LRP464";20.8869441;92.2996386;"";"KmPost";"Info.Missing"
1329;"N1";459.521;"LRP464a";20.8858608;92.2991941;"";"Culvert";"Box culvert"
1330;"N1";459.995;"LRP464b";20.8820271;92.2977774;"";"Culvert";"Box culvert"
1331;"N1";460.426;"LRP465";20.8782216;92.2977774;"";"KmPost";"Teknaf 2 km"
1332;"N1";460.589;"LRP465a";20.8768604;92.2978886;"BS";"Bridge";"Bridge start"
1333;"N1";460.632;"LRP465b";20.8764993;92.2978886;"BE";"Bridge";"Bridge end"
1334;"N1";461.426;"LRP466";20.8692771;92.2981386;"";"KmPost";"Km post missing"
1335;"N1";461.476;"LRP466a";20.8688604;92.2982219;"";"Culvert";"Box culvert"
1336;"N1";461.904;"LRP466b";20.8650278;92.2982497;"BS";"Bridge";"Bridge start"
1337;"N1";461.946;"LRP466c";20.8646667;92.2981941;"BE";"Bridge";"Bridge end"
1338;"N1";462.124;"LRP467";20.8629722;92.298083;"";"KmPost";"Infor.missing"
1339;"N1";462.254;"LRPE";20.8629167;92.298083;"";"Others";"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099."
