road,km,type,lrp,name,length,category,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,392.422,Slab Culvert,LRP388e,TOLA BAGAN,1.6,B,101086,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,392.422,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.36130043,92.08054409,interpolate
N1,392.526,Box Culvert,LRP389a,TULA BAGAN,2.5,A,101091,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,392.526,11.5,1998,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3604702,92.08015261,interpolate
N1,392.619,Slab Culvert,LRP389b,NORTH-CONIAPARA,1.3,A,101084,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,392.619,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.35972779,92.07980254,interpolate
N1,392.742,Slab Culvert,LRP389c,NORTH CONIAPARA,2.2,C,101076,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,392.742,4.1,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.35874588,92.07933953,interpolate
N1,393.038,Box Culvert,LRP389d,NORTH CONIA PARA BOX CULVERT,4,A,101080,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,393.038,11.5,1998,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3562553,92.0790827,interpolate
N1,393.764,PC Girder Bridge,LRP390a,WEST CONIARA,21.5,A,101081,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,393.764,10,1998,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3500252,92.07843429,interpolate
N1,393.764,PC Girder Bridge,LRP390a,Modomconiara,21.5,C,120388,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,393.764,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.3500252,92.07843429,interpolate
N1,394.307,Steel Beam & RCC Slab,LRP390c,CONIA PARA,11.3,C,101082,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,394.307,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.34533221,92.07897034,interpolate
N1,394.681,Box Culvert,LRP391a,KHONIA POLONG,14.1,A,101083,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,394.681,10.3,1998,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.34208932,92.07885388,interpolate
N1,395.328,Slab Culvert,LRP391c,KHONIA POLONG.,2.3,B,101087,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,395.328,7,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.33655661,92.0789637,interpolate
N1,395.64,Steel Beam & RCC Slab,LRP392a,DOA PATONG,24.1,C,101085,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,395.64,3.9,1951,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.33383908,92.07904286,interpolate
N1,396.596,Steel Beam & RCC Slab,LRP393a,JASOYA PALONG,45.6,C,101055,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,396.596,6.7,1952,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3269177,92.08197087,interpolate
N1,397.144,RCC Girder Bridge,LRP393c,JASOYA PALONG RCC GIDER BRIDGE,5,C,101054,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,397.144,3.9,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.32378693,92.08574298,interpolate
N1,397.591,Steel Beam & RCC Slab,LRP394a,MORICHIA,11.2,D,101060,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,397.591,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.32110878,92.08888364,interpolate
N1,397.679,Arch Masonry,LRP394c,Jasoya check post.,1.3,B,101063,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,397.679,9.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.32058313,92.08949676,interpolate
N1,398.406,Steel Beam & RCC Slab,LRP394e,MARIECHA BAZAR,49.3,C,101065,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,398.406,6.5,1952,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.31620967,92.09395927,interpolate
N1,399.452,Box Culvert,LRP395a,MORICHIA PALONG,2.4,B,101068,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,399.452,6.95,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.30822684,92.09726483,interpolate
N1,400.027,Slab Culvert,LRP396a,MORICHIA PALONG,2.3,C,101058,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,400.027,6.9,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.30351652,92.09684875,interpolate
N1,400.46,Steel Beam & RCC Slab,LRP396b,SHAPUR STEEL BEAM AND RCC SLAB,61.3,D,101059,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,400.46,5.1,1952,5,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.29974536,92.09747726,interpolate
N1,401.752,Box Culvert,LRP398a,SHAPUR,14.1,A,101061,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,401.752,11.4,2000,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.2887748,92.09995497,interpolate
N1,401.89,Steel Beam & RCC Slab,LRP398b,COTBAZR MUSLIM HOS,11,B,101062,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,401.89,4.3,1990,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.28755005,92.10006239,interpolate
N1,402.323,Box Culvert,LRP398d,COURT BAZAR,10.3,A,101064,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,402.323,11.4,1998,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.28373823,92.10055463,interpolate
N1,403.495,Box Culvert,LRP400a,RATNAPALANG,14,A,101066,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,403.495,11.5,1989,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.27400579,92.10442234,interpolate
N1,403.509,Steel Beam & RCC Slab,LRP400b,CHADIRIKHANA,23.5,A,101067,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,403.509,4.3,1958,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.27389217,92.10447857,interpolate
N1,403.79,Steel Beam & RCC Slab,LRP400c,CHADIRIKHANA,23.5,A,101070,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,403.79,4.3,1958,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.27161164,92.10560708,interpolate
N1,404.393,Steel Beam & RCC Slab,LRP400e,EJILA,11.1,C,101071,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,404.393,4,1961,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.26764127,92.10915299,interpolate
N1,404.487,Steel Beam & RCC Slab,LRP401a,HIZOLIA BRIDGE,50.6,C,101073,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,404.487,6.2,1953,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.26713354,92.10987205,interpolate
N1,404.774,Steel Beam & RCC Slab,LRP401c,MODDO RAJAPALONG,11.5,C,101072,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,404.774,4,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.26558335,92.11206748,interpolate
N1,405.728,Steel Beam & RCC Slab,LRP402a,JADIMURA BRIDGE,6.6,C,101074,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,405.728,4,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.26004737,92.11898609,interpolate
N1,405.969,Slab Culvert,LRP402b,JADI MORA (2) CULVERT,2.4,A,101075,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,405.969,7,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.25862422,92.12071798,interpolate
N1,406.218,Arch Masonry,LRP402c,JADIMORA (3),17,A,100726,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,406.218,9,1951,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.2570551,92.1224165,interpolate
N1,406.517,Slab Culvert,LRP403a,JADIMORA (1),2.4,A,100731,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,406.517,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.25520644,92.12438721,interpolate
N1,406.791,Steel Beam & RCC Slab,LRP403b,WEST OGALA,11.1,C,100735,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,406.791,4.1,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.2538028,92.12659709,interpolate
N1,407.239,Steel Beam & RCC Slab,LRP403d,OKYIA STATION,8.5,C,100826,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,407.239,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.2504537,92.1307493,interpolate
N1,407.785,Slab Culvert,LRP404a,UKLIA-SHAHABMARKAT,2.4,C,100742,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,407.785,9.2,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.24896449,92.13284109,interpolate
N1,408.235,Steel Beam & RCC Slab,LRP404b,UKHIYA BAZAR,20.7,B,100838,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,408.235,4,1964,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.24572626,92.13730421,interpolate
N1,411.81,Slab Culvert,LRP408a,P. F PARA SLAB,2,A,100837,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,411.81,7.5,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.23087848,92.16075715,interpolate
N1,412.008,Steel Beam & RCC Slab,LRP408b,KUTUB PALONG,11.3,C,100835,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,412.008,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.22931553,92.16135615,interpolate
N1,412.931,Slab Culvert,LRP409a,KUTU - PALONG MOSZID SLAB,2.2,B,100833,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,412.931,7,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.22151998,92.16170326,interpolate
N1,413.235,Steel Beam & RCC Slab,LRP409b,KOSHO - BINNA - BRIDGE,10.9,C,100832,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,413.235,4.2,1967,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.21896008,92.16207776,interpolate
N1,413.43,Slab Culvert,LRP409d,KASHO - BINNAI SLAB,2.1,C,100831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,413.43,8.3,1953,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.21737605,92.16248399,interpolate
N1,413.66,Slab Culvert,LRP410a,KATU PALLANG SLAB,2,A,100830,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,413.66,7,1953,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.21601159,92.16366416,interpolate
N1,413.901,Slab Culvert,LRP410b,KUTUNG PALANG SLAB,1.8,A,100824,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,413.901,7,1968,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.21493596,92.1655512,interpolate
N1,414,Slab Culvert,LRP410c,KOSUKONA,2.2,A,100821,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,414,7,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.21443086,92.16640674,interpolate
N1,415.056,Box Culvert,LRP411a,BALAKHALI TV CENTER,6.4,A,100819,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,415.056,11,1984,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.20630473,92.17001802,interpolate
N1,415.296,Slab Culvert,LRP411b,BALUKHALI-2 SLAB,2.2,A,100817,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,415.296,11,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.20434099,92.17035673,interpolate
N1,415.574,Box Culvert,LRP412a,BALUKHALI KASTOM,3.1,A,100815,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,415.574,9.6,1973,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.20196717,92.17040067,interpolate
N1,416.057,RCC Girder Bridge,LRP412b,BALUKHALI OLD BUS STAND,39.3,A,100812,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,416.057,7.35,1967,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.19763242,92.17057726,interpolate
N1,416.057,RCC Girder Bridge,LRP412b,Balukali Old bus Stand Bridge,38.7,C,120427,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,416.057,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.19763242,92.17057726,interpolate
N1,416.354,Box Culvert,LRP412d,BAKUHHALI KASHAMIA,3,A,100810,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,416.354,9.5,1964,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.19531553,92.17050747,interpolate
N1,416.966,RCC Girder Bridge,LRP413a,Batukhali Bridge,9.4,A,120431,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,416.966,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1907731,92.16807032,interpolate
N1,416.966,RCC Girder Bridge,LRP413a,BALUKHALI,9.4,B,100807,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,416.966,6.75,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1907731,92.16807032,interpolate
N1,417.29,RCC Girder Bridge,LRP413b,Balukhali Boro Bridge,15.4,D,120432,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,417.29,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.18889194,92.16587736,interpolate
N1,417.29,RCC Girder Bridge,LRP413b,BALUKHAKI,15.4,D,100806,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,417.29,7.3,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.18889194,92.16587736,interpolate
N1,418.231,Box Culvert,LRP414a,GOGU GONA,1.2,A,100804,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,418.231,10.3,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.18397443,92.15930264,interpolate
N1,418.76,Box Culvert,LRP415a,THANGKHALI BOX CULVERT,3.1,C,100811,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,418.76,9.7,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17970671,92.15783106,interpolate
N1,419.036,Box Culvert,LRP415b,THANG KHALI BOX CULVERT,3.1,B,100802,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.036,9.7,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17741716,92.15703721,interpolate
N1,419.278,RCC Girder Bridge,LRP415c,THANG KHALI BRIDGE,48.8,C,100801,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.278,7.3,1978,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17542081,92.15625261,interpolate
N1,419.278,RCC Girder Bridge,LRP415c,Thang Khali Bridge,48.2,D,120434,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.278,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17542081,92.15625261,interpolate
N1,419.63,RCC Girder Bridge,LRP416a,Changkhali Bridge,9.4,A,120436,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.63,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17248281,92.15529403,interpolate
N1,419.63,RCC Girder Bridge,LRP416a,CHANG KHALI BRIDGE,9.4,C,100800,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.63,7.2,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17248281,92.15529403,interpolate
N1,419.88,RCC Girder Bridge,LRP416b,Changkhali Boro Bridge,21.5,A,120456,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.88,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17037235,92.15473878,interpolate
N1,419.88,RCC Girder Bridge,LRP416b,CHANG KHALI BRIDGE,31.1,B,100798,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,419.88,7.3,1951,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.17037235,92.15473878,interpolate
N1,420.093,RCC Girder Bridge,LRP416d,JAM TOLI BRIDGE,9.4,B,100793,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.093,7.3,1958,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16882136,92.1536624,interpolate
N1,420.093,RCC Girder Bridge,LRP416d,Jam Toli Bridge,9.4,C,120458,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.093,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16882136,92.1536624,interpolate
N1,420.18,Box Culvert,LRP416e,JAM TOLI BOX CULVERT,3,A,100796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.18,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16823293,92.15314598,interpolate
N1,420.406,RCC Girder Bridge,LRP416f,DAIM PARA BRIDGE,9.3,B,100791,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.406,7.3,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16666535,92.15233765,interpolate
N1,420.537,Box Culvert,LRP417a,DAIM PARA CULVERT,3,C,100790,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.537,9.5,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16557256,92.1522082,interpolate
N1,420.606,Box Culvert,LRP417b,DAIM PARA CULVERT,4.6,A,100788,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.606,9.6,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16498781,92.15219007,interpolate
N1,420.952,Box Culvert,LRP417c,DAIM PARA CULVERT,1.25,C,100787,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,420.952,9.5,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.16197574,92.15233147,interpolate
N1,421.156,Box Culvert,LRP417d,DAIM PARA CULVERT,3,A,100785,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,421.156,9.45,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1602045,92.15252572,interpolate
N1,421.358,Box Culvert,LRP417e,PALONG KHALI CULVERT,3,C,100783,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,421.358,9.45,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.15845347,92.15251956,interpolate
N1,422.081,RCC Girder Bridge,LRP418a,PALONG KHALI BAZAR (1),9.4,C,100781,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,422.081,7.3,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.15246328,92.15341459,interpolate
N1,422.447,RCC Bridge,LRP418b,PALONG KHALI BAZAR BRIDGE,15.2,C,100779,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,422.447,7.3,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14989065,92.15521562,interpolate
N1,422.447,RCC Bridge,LRP418b,Palong Khali Bazar Bridge,15.2,C,120461,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,422.447,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14989065,92.15521562,interpolate
N1,422.784,RCC Girder Bridge,LRP419a,Palong Khali Bridge,57.6,A,120465,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,422.784,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14776767,92.15704263,interpolate
N1,422.784,RCC Girder Bridge,LRP419a,PALONG KHALI RCC GIDER BRIDGE,58,C,100792,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,422.784,7.3,1978,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14776767,92.15704263,interpolate
N1,423.442,RCC Girder Bridge,LRP419c,KARUN TOLI RCC GIDER BRIDGE,3.3,B,100794,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,423.442,9.6,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14254625,92.15942922,interpolate
N1,423.67,RCC Girder Bridge,LRP420a,GIRA TALI RCC GIDER BRIDGE,15.4,C,100795,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,423.67,7.3,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14086477,92.16052223,interpolate
N1,423.67,RCC Girder Bridge,LRP420a,Karontoli Bridge,15.4,C,120468,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,423.67,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14086477,92.16052223,interpolate
N1,423.804,RCC Girder Bridge,LRP420c,GIVATOLI RCC GIDER BRIDGE,3.3,A,100797,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,423.804,9.6,1975,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.14021046,92.1615531,interpolate
N1,424.075,RCC Girder Bridge,LRP420d,GIVA TOLI RCC GIDER BRIDGE,3.3,A,100799,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.075,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13888718,92.16363791,interpolate
N1,424.271,Box Culvert,LRP420e,GIVA TOLI BOX CULVERT,1.2,A,100803,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.271,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1380665,92.1651978,interpolate
N1,424.395,RCC Girder Bridge,LRP420f,GIVATOLI RCC GIDER BRIDGE,32,C,100813,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.395,7.3,1951,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13792108,92.16635342,interpolate
N1,424.577,RCC Girder Bridge,LRP421a,Kata Khali Bridge,12.3,D,120475,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.577,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13761246,92.16805871,interpolate
N1,424.577,RCC Girder Bridge,LRP421a,KATA KHALI RCC GIDER BRIDGE,12.3,D,100814,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.577,7.3,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13761246,92.16805871,interpolate
N1,424.783,Box Culvert,LRP421c,ULI BANIA BOX CULVERT,1.2,C,100805,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,424.783,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13733505,92.17001121,interpolate
N1,425.267,RCC Girder Bridge,LRP421d,KHARA KANDI RCC GIDER BRIDGE,15.2,B,100808,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,425.267,7.3,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13661254,92.17450278,interpolate
N1,425.267,RCC Girder Bridge,LRP421d,Porbo Kata Khali Bridge,15.2,C,120489,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,425.267,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13661254,92.17450278,interpolate
N1,425.455,RCC Girder Bridge,LRP421f,ULUBANIA RCC GIDER BRIDGE,4.8,A,100809,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,425.455,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1360413,92.17605699,interpolate
N1,425.715,Box Culvert,LRP422a,ULIBANIA BOX CULVERT,1.3,C,100816,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,425.715,9.6,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13491492,92.17793796,interpolate
N1,425.882,RCC Girder Bridge,LRP422b,DMONIR GONA RCC GIDER BRIDGE,3.3,A,100818,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,425.882,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.1342388,92.17915872,interpolate
N1,426.555,RCC Girder Bridge,LRP422c,BALUR KHALI -(1) RCC GIDER BRIDGE,4.7,B,100820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,426.555,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.13189689,92.18469174,interpolate
N1,426.881,Box Culvert,LRP423a,BALU KHALI -2 BOX CULVERT,1.2,C,100822,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,426.881,9.6,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar - 2,21.12997372,92.18681585,interpolate
