road,km,type,lrp,name,length,category,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,372.43,Box Culvert,LRP369a,MARULA (WEST),3,A,100456,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,372.43,12.2,1981,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.43720096,92.09836727,interpolate
N1,372.782,Box Culvert,LRP369b,MARULA BOX CULVERT,2.5,A,100457,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,372.782,12.2,1995,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.43420846,92.09726071,interpolate
N1,373.192,Box Culvert,LRP369c,RAMU BRAC OFFICE,7.2,A,100461,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,373.192,12.1,1997,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.43080876,92.09611829,interpolate
N1,373.424,Box Culvert,LRP370a,RAMU BY PASS MORE,3.5,A,100462,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,373.424,12.1,1997,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42884003,92.09539139,interpolate
N1,373.598,Box Culvert,LRP370c,RAMU MOUR BOX CULVDERT,12.8,A,100463,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,373.598,11.5,1995,4,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4283516,92.09407143,interpolate
N1,374.081,Box Culvert,LRP370e,ROMA CALLAGE BOX CULVERT,18.8,A,100460,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,374.081,11.5,1995,4,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42789598,92.08945082,interpolate
N1,374.655,Box Culvert,LRP371a,ROMA TECHIPUL,8.2,A,100459,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,374.655,12.2,1995,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42710638,92.08402582,interpolate
N1,375.035,Box Culvert,LRP371c,SAMBAR PUL CULVERT,7.4,A,100458,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,375.035,12.2,1997,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42677471,92.08044274,interpolate
N1,375.416,Box Culvert,LRP372a,CHAKMARKOOL,12.4,A,114963,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,375.416,10,1995,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4264716,92.0767771,interpolate
N1,376.062,Box Culvert,LRP372c,CHAKMAR KOOL BOX CULVERT,9.4,A,100464,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,376.062,12.4,1990,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42736545,92.07089348,interpolate
N1,376.931,Box Culvert,LRP373a,KHURUTIA BOX CULVERT,2,A,100466,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,376.931,12.2,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.427176,92.06344319,interpolate
N1,377.189,Box Culvert,LRP373b,KHURULIA CULVERT,6.8,A,100467,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,377.189,11.8,1995,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42730894,92.06106567,interpolate
N1,377.519,Box Culvert,LRP374a,KHURULIA SCHOOL BOX CULVERT,16.6,A,100468,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,377.519,11.6,1992,4,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42783545,92.05796739,interpolate
N1,377.753,Box Culvert,LRP374c,KHURULIA SCHOOL BOX CULVERT,18.6,A,100469,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,377.753,11.4,1993,4,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42802968,92.05575704,interpolate
N1,378.02,Box Culvert,LRP374e,KHURULIA CHAIRMAN PARA BOX CULVERT,7.2,A,100471,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,378.02,12,1995,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42805849,92.05322817,interpolate
N1,378.492,RCC Girder Bridge,LRP375a,Sarkarpara Bridge,13,A,120384,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,378.492,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4275245,92.04864822,interpolate
N1,378.492,RCC Girder Bridge,LRP375a,SARKAR PARA BRIDGE,13,A,100473,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,378.492,11.6,1985,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4275245,92.04864822,interpolate
N1,379.004,Box Culvert,LRP375c,WEST DOVGE BOX CULVERT,10.9,A,100474,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,379.004,11.6,1992,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42944521,92.04438072,interpolate
N1,379.504,Box Culvert,LRP376a,MUKTAR KUL,9.2,A,100476,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,379.504,11.6,1992,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4297884,92.03959457,interpolate
N1,380.346,RCC Girder Bridge,LRP377a,BAKKHALI BRIDGE,148.5,A,101046,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,380.346,8.8,1989,7,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42940336,92.03188875,interpolate
N1,380.346,RCC Girder Bridge,LRP377a,Bakkhali Bridge,136.3,C,120385,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,380.346,,,,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42940336,92.03188875,interpolate
N1,380.615,Box Culvert,LRP377c,MOHURI RARA BOX,3.5,A,101033,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,380.615,12.1,1984,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.43032578,92.0296207,interpolate
N1,380.759,Box Culvert,LRP377d,RABAR DAM BOX,10.3,A,101029,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,380.759,11.65,1989,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.43015392,92.0283435,interpolate
N1,381.374,Box Culvert,LRP377f,LINK ROAD CULVERT,9,A,101027,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,381.374,11.6,1989,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42649862,92.02388341,interpolate
N1,381.985,RCC Girder Bridge,LRP378a,BESIC AREA,4.5,C,101026,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,381.985,3.7,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42306306,92.02678796,interpolate
N1,382.055,Steel Beam & RCC Slab,LRP378b,BASIC ARIA (1),11.3,C,101021,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,382.055,4.1,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.42267217,92.02729245,interpolate
N1,382.649,Box Culvert,LRP379a,KAMBIR GONA,2.4,C,101015,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,382.649,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41940178,92.03168291,interpolate
N1,383.098,Box Culvert,LRP379b,HAMBIR GONA (1),7.2,B,101012,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,383.098,11.5,1999,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41702324,92.03472607,interpolate
N1,383.269,RCC Girder Bridge,LRP379c,HAMBIR GONA-(2),8.1,C,101020,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,383.269,4.1,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41611676,92.03593571,interpolate
N1,383.632,Box Culvert,LRP380a,KANAR PARA,10.9,A,101010,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,383.632,11.5,1996,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41425993,92.03867369,interpolate
N1,384.001,Box Culvert,LRP380c,SHORAR COOL,8.3,A,101006,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,384.001,11.5,1996,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41249684,92.03952685,interpolate
N1,384.358,Steel Beam & RCC Slab,LRP380e,SOUTH MITTA CHORI,8.3,B,101000,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,384.358,4,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41100293,92.04433796,interpolate
N1,384.788,Slab Culvert,LRP381a,SOUTH MITHACHARI,2.2,B,100997,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,384.788,4,1980,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41024886,92.04803668,interpolate
N1,384.978,Box Culvert,LRP381b,SOUTH MITHACHARI,8.2,A,100993,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,384.978,11.5,1995,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.41029819,92.04966222,interpolate
N1,385.237,Slab Culvert,LRP381c,SOUTH MITTA CULVERT,1.9,A,114964,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,385.237,4.2,1968,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40992368,92.05188844,interpolate
N1,385.614,Slab Culvert,LRP382a,SOUTH MITHACHARI,3,A,100990,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,385.614,4.3,1979,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40883992,92.05502381,interpolate
N1,385.78,Slab Culvert,LRP382b,SOUTH MITHACHARI,2.8,A,100987,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,385.78,4.25,1978,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40795741,92.05601249,interpolate
N1,386.07,RCC Bridge,LRP382c,SHAMMOTI PARA,10,D,100983,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,386.07,4.55,1952,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40636071,92.05804678,interpolate
