road,linkNo,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
Z1804,Z1804-1,Maizzertek-BFDC,LRPS,0.0,0.0,LRPS,3502.0,3.502,3.502,0.0,450.0,353.0,0.0,0.0,94.0,12.0,51.0,978.0,142.0,822.0,1647.0,0.0,2080.0,2469.0,4549.0
Z1806,Z1806-1,BFDC Fisheries Center-Diamond Cement More,LRPS,0.0,0.0,LRPS,2500.0,2.5,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1811,Z1811-1,Bandarban-Chimbuk Y-Junction (int.with Z1812),LRPS,0.0,0.0,LRP019,237.0,18.285,18.285,0.0,76.0,32.0,0.0,45.0,51.0,103.0,22.0,349.0,197.0,116.0,86.0,0.0,875.0,202.0,1077.0
Z1811,Z1811-2,Chimbuk Y-Junction-Alikadam (int.with Z1005),LRP019,237.0,18.285,LRP075,40571.0,113.185,94.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1811,Z1811-3,Alikadam (int.with Z1005)-Naikhongchhari(int.with Z1001),LRP075,40571.0,113.185,LRP144,44675.0,186.321,73.136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1811,Z1811-4,Naikhongchhari(int.with Z1001)-Gundhum,LRP144,44675.0,186.321,LRPE,0.0,196.937,10.616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1812,Z1812-1,Chimbuk Y-Junction-Ruma,LRPS,0.0,0.0,LRP024,563.0,24.61,24.61,0.0,114.0,0.0,0.0,120.0,119.0,111.0,0.0,0.0,158.0,83.0,0.0,0.0,622.0,83.0,705.0
Z1813,Z1813-1,Bandarban (Rowangchhari Bus Stand)-Ruma,LRPS,0.0,0.0,LRP020,1000.0,20.05,20.05,0.0,25.0,35.0,28.0,0.0,35.0,153.0,32.0,699.0,413.0,203.0,174.0,0.0,1420.0,377.0,1797.0
Z1814,Z1814-1,Bangalhalia-Barkal,LRPS,0.0,0.0,LRP019,1328.0,20.25,20.25,0.0,18.0,38.0,0.0,24.0,11.0,11.0,0.0,367.0,563.0,87.0,113.0,0.0,1032.0,200.0,1232.0
Z1824,Z1824-1,Doavanga-Sharasti(int.with Z1430),LRPS,0.0,0.0,LRPS,2792.0,2.792,2.792,0.0,6.0,93.0,0.0,0.0,11.0,0.0,7.0,813.0,234.0,487.0,338.0,2.0,1164.0,827.0,1991.0
Z1824,Z1824-2,Sharasti(int.with Z1430)-Paniwala Bazar,LRPS,2792.0,2.792,LRPS,15600.0,15.6,12.808,0.0,6.0,93.0,0.0,0.0,11.0,0.0,7.0,813.0,234.0,487.0,338.0,2.0,1164.0,827.0,1991.0
Z2002,Z2002-1,Moulvibazar-Shamshernagar(int.with Z2003),LRPS,0.0,0.0,LRP019,898.0,19.918,19.918,0.0,61.0,71.0,0.0,22.0,115.0,51.0,122.0,1557.0,321.0,154.0,327.0,0.0,2320.0,481.0,2801.0
Z2002,Z2002-2,Shamshernagar(int.with Z2003)-Chatla Check Post,LRP019,898.0,19.918,LRPE,0.0,33.089,13.171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2003,Z2003-1,Brahmanbazar-Shamshernagar(int.with Z2002),LRPS,0.0,0.0,LRP018,595.0,18.657,18.657,0.0,51.0,69.0,0.0,71.0,118.0,58.0,41.0,1541.0,579.0,448.0,465.0,52.0,2528.0,965.0,3493.0
Z2003,Z2003-2,Shamshernagar(int.with Z2002)-Srimangal,LRP018,595.0,18.657,LRPE,0.0,41.085,22.428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2008,Z2008-1,Chunarughat-Natunbazar,LRPS,0.0,0.0,LRPS,12780.0,12.78,12.78,0.0,159.0,146.0,122.0,0.0,258.0,39.0,128.0,825.0,409.0,104.0,150.0,0.0,2086.0,254.0,2340.0
Z2009,Z2009-1,Shaistaganj Puran Bazar-Kalimnagar,LRPS,0.0,0.0,LRPS,2905.0,2.905,2.905,0.0,151.0,139.0,121.0,0.0,255.0,38.0,127.0,816.0,405.0,103.0,148.0,0.0,2052.0,251.0,2303.0
Z2010,Z2010-1,Murarbandh-Darghasharif,LRPS,0.0,0.0,LRPS,2380.0,2.38,2.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2011,Z2011-1,Darbast-Shahabag,LRPS,0.0,0.0,LRP019,5673.0,24.703,24.703,0.0,97.0,109.0,0.0,79.0,373.0,32.0,27.0,626.0,336.0,98.0,165.0,0.0,1679.0,263.0,1942.0
