,road,LRPName,chainage,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
0,N1,LRP010c,10.897,0.001247406005859375,0.035797119140625,0.025554656982421875,0.0235595703125,0.019832611083984375,0.01731109619140625,0.00226593017578125,0.0140533447265625,0.02378082275390625,0.008762359619140625,0.002777099609375,0.00994873046875,0.0,0.1721649169921875,0.012725830078125,0.1848907470703125
1,N1,LRP013b,12.688,0.016613321140070112,0.4767565919829295,0.3403444596860235,0.3137733069145963,0.26413656454808715,0.2305542854239699,0.030178326474622767,0.18716659045877151,0.31672001219326323,0.11669969008789309,0.036986231773611745,0.13250012701315858,0.0,2.292943148910227,0.1694863587867703,2.462429507696997
2,N1,LRP018c,18.093,0.001247406005859375,0.035797119140625,0.025554656982421875,0.0235595703125,0.019832611083984375,0.01731109619140625,0.00226593017578125,0.0140533447265625,0.02378082275390625,0.008762359619140625,0.002777099609375,0.00994873046875,0.0,0.1721649169921875,0.012725830078125,0.1848907470703125
3,N1,LRP021c,21.184,0.002285003662109375,0.039340972900390625,0.025554656982421875,0.0235595703125,0.019832611083984375,0.01731109619140625,0.003047943115234375,0.01563262939453125,0.02378082275390625,0.008762359619140625,0.002777099609375,0.00994873046875,0.0,0.1721649169921875,0.012725830078125,0.1848907470703125
4,N1,LRP023d,23.081,0.002285003662109375,0.039340972900390625,0.008090972900390625,0.0130462646484375,0.00537872314453125,0.01262664794921875,0.003047943115234375,0.01563262939453125,0.0094757080078125,0.001617431640625,0.0002593994140625,0.001247406005859375,0.0,0.11054229736328125,0.001506805419921875,0.11204910278320312
5,N1,LRP028b,28.315,0.002285003662109375,0.039340972900390625,0.008090972900390625,0.0130462646484375,0.00537872314453125,0.01262664794921875,0.003047943115234375,0.01563262939453125,0.0094757080078125,0.001617431640625,0.0002593994140625,0.001247406005859375,0.0,0.11054229736328125,0.001506805419921875,0.11204910278320312
6,N1,LRP032b,31.472,0.002285003662109375,0.039340972900390625,0.008090972900390625,0.0130462646484375,0.00537872314453125,0.01262664794921875,0.003047943115234375,0.01563262939453125,0.0094757080078125,0.001617431640625,0.0002593994140625,0.001247406005859375,0.0,0.11054229736328125,0.001506805419921875,0.11204910278320312
7,N1,LRP034b,33.591,0.002285003662109375,0.039340972900390625,0.008090972900390625,0.0130462646484375,0.00537872314453125,0.01262664794921875,0.003047943115234375,0.01563262939453125,0.0094757080078125,0.001617431640625,0.0002593994140625,0.001247406005859375,0.0,0.11054229736328125,0.001506805419921875,0.11204910278320312
8,N1,LRP037a,37.01,0.002285003662109375,0.039340972900390625,0.008090972900390625,0.0130462646484375,0.00537872314453125,0.01262664794921875,0.003047943115234375,0.01563262939453125,0.0094757080078125,0.001617431640625,0.0002593994140625,0.001247406005859375,0.0,0.11054229736328125,0.001506805419921875,0.11204910278320312
9,N1,LRP049a,48.384,0.002696990966796875,0.037052154541015625,0.006786346435546875,0.012451171875,0.00457000732421875,0.00531768798828125,0.003032684326171875,0.008296966552734375,0.00605010986328125,0.00125885009765625,0.00026702880859375,0.000965118408203125,0.0,0.08751296997070312,0.001232147216796875,0.0887451171875
10,N1,LRP064a,63.098,7.015492430015751e-05,0.0009638115696286134,0.00017652844459686024,0.0003238835543362292,0.00011887637809277044,0.0001383252679977646,7.888707895137936e-05,0.00021582314052735863,0.0001573772417822486,3.2745579942081993e-05,6.946032108926483e-06,2.5104944622262866e-05,0.0,0.002276413180155464,3.205097673118935e-05,0.0023084641568866535
11,N1,LRP076a,75.312,7.015492430015751e-05,0.0010774288091246254,0.00017652844459686024,0.00036585743408017077,0.00011887637809277044,0.00019806114413453235,8.017705634303714e-05,0.00022395992099781537,0.0003872909045877153,0.00011004499441142104,2.222730274856475e-05,3.5523992785652595e-05,0.0,0.0027419957895137934,5.7751295534217354e-05,0.0027997470850480107
12,N1,LRP088a,87.713,6.390349540212366e-05,0.0011235703081339226,0.00016055257074632933,0.00036585743408017077,9.208453995833969e-05,0.00019806114413453235,8.017705634303714e-05,0.00022395992099781537,0.0003872909045877153,0.00011004499441142104,2.222730274856475e-05,3.5523992785652595e-05,0.0,0.0027419957895137934,5.7751295534217354e-05,0.0027997470850480107
13,N1,LRP105a,104.753,6.1025853528425535e-05,0.0011235703081339226,0.00016055257074632933,0.00026414767819946144,6.231583092008334e-05,0.00010299973327236703,5.348444723873392e-05,0.00015449959990855054,0.0002819096745922878,7.481868871615099e-05,1.3495148097342885e-05,2.8478731646598593e-05,0.0,0.0023393243852563124,4.197387974394148e-05,0.002381298265000254
14,N1,LRP112a,111.509,6.1025853528425535e-05,0.0011235703081339226,0.00016055257074632933,0.00026414767819946144,6.231583092008334e-05,0.00010299973327236703,5.348444723873392e-05,0.00015449959990855054,0.0002819096745922878,7.481868871615099e-05,1.3495148097342885e-05,2.8478731646598593e-05,0.0,0.0023393243852563124,4.197387974394148e-05,0.002381298265000254
15,N1,LRP117a,116.074,6.1025853528425535e-05,0.0011235703081339226,0.00016055257074632933,0.00026414767819946144,6.231583092008334e-05,0.00010299973327236703,5.348444723873392e-05,0.00015449959990855054,0.0002819096745922878,7.481868871615099e-05,1.3495148097342885e-05,2.8478731646598593e-05,0.0,0.0023393243852563124,4.197387974394148e-05,0.002381298265000254
16,N1,LRP120a,119.19,6.1025853528425535e-05,0.0011235703081339226,0.00016055257074632933,0.00026414767819946144,6.231583092008334e-05,0.00010299973327236703,5.348444723873392e-05,0.00015449959990855054,0.0002819096745922878,7.481868871615099e-05,1.3495148097342885e-05,2.8478731646598593e-05,0.0,0.0023393243852563124,4.197387974394148e-05,0.002381298265000254
17,N1,LRP125a,124.346,8.50392788192857e-05,0.0011235703081339226,0.00016055257074632933,0.00026414767819946144,6.231583092008334e-05,0.00013514993903368392,5.527056978102931e-05,0.00015449959990855054,0.0002819096745922878,7.481868871615099e-05,1.3495148097342885e-05,2.8478731646598593e-05,0.0,0.0023393243852563124,4.197387974394148e-05,0.002381298265000254
18,N1,LRP131a,129.955,8.50392788192857e-05,0.0007296310585276634,0.0001576749288726312,0.0001529119354265102,6.132354061880811e-05,0.00013514993903368392,5.527056978102931e-05,0.00010885424604989077,0.00016759783188538332,6.717805339633186e-05,6.8468030787989644e-06,2.341805111009501e-05,0.0,0.0017206313824112182,3.0264854188893978e-05,0.001750896236600112
19,N1,LRP135b,134.426,8.50392788192857e-05,0.0007296310585276634,0.0001576749288726312,0.0001529119354265102,6.132354061880811e-05,0.00013514993903368392,5.527056978102931e-05,0.00010885424604989077,0.00016759783188538332,6.717805339633186e-05,6.8468030787989644e-06,2.341805111009501e-05,0.0,0.0017206313824112182,3.0264854188893978e-05,0.001750896236600112
20,N1,LRP140a,138.953,8.50392788192857e-05,0.0007296310585276634,0.0001576749288726312,0.0001529119354265102,6.132354061880811e-05,0.00013514993903368392,5.527056978102931e-05,0.00010885424604989077,0.00016759783188538332,6.717805339633186e-05,6.8468030787989644e-06,2.341805111009501e-05,0.0,0.0017206313824112182,3.0264854188893978e-05,0.001750896236600112
21,N1,LRP149b,148.174,0.00013435610679266371,0.0011442099464004471,0.0003164413770766651,0.0004124950782401057,0.00012889851013565007,0.00023080672407661438,6.350657928161356e-05,0.00020351874079154602,0.0002865734390082812,8.176472082507748e-05,2.3814967230605087e-05,4.594304094904233e-05,0.0,0.0028055023687954075,6.975800817964742e-05,0.0028630552062693694
